account_ref,name,c_address_1,c_address_2,c_address_3,c_address_4,c_address_5,vat_reg_number,member_id
1512,Far Horizons Travel Worldchoice,Retsel Fields,East Lawn Farm,Gillingham,Dorset,SP8 5QN,5293685,27
1532,Courtney World Travel,127 High Street,Tewksbury,Gloucestershire,,GL20 5JU,551137565,28
1575,Elaine's Travel Ltd,16a High Street,Marlborough,Wiltshire,,SN8 1AA,,29
1611,Liphook Travel Worldchoice,11 Headley Road,Liphook,Hampshire,,GU30 7NS,1891556,30
1613,Experience Holidays,6 Cortlandt,18 George Street,Hailsham,East Sussex,BN27 1AE,793455981,31
1624,Travel Options,Franklands Manor,Ferring,West Sussex,,BN12 6QS,5892447,32
1719,Telford Travel,15 Church Street,Wellington,Telford,Shropshire,TF1 1DD,159242947,33
1738,Dovehouse Travel Worldchoice,20 Deanbrook Close,Solihull,West Midlands,,B90 4XS,487368392,34
1766,Hunstanton Travel,17 High Street,Hunstanton,Norfolk,,PE36 5AB,,35
1780,Quora Travel Ltd,CIBA Building,146 Hagley Road,Birmingham,,B16 9NX,,36
1821,Penarth Travel,Washington Buildings,Stanwell Road,Penarth,South Glamorgan,CF64 2AD,359419226,37
1832,Church Village Travel,Davenport House,"Main Road, Church Village",Pontypridd,Mid Glamorgan,CF38 1RD,359763111,38
1836,CK Travel,7 View Court,Station Road,"Maghull, Merseyside Liverpool",,L31 3HF,,39
1847,Milford Haven Travel,79 Charles Street,Milford Haven,Pembrokeshire,,SA73 2HA,122393982,40
1954,Travelsport,1 Crown Square,Denbigh,Denbighshire,,LL16 3AA,162145782,41
1980,Vacay Ltd,,,,,,,42
2016,Anders Travel,36 Blatchington Road,Hove,East Sussex,,BN3 3YN,449643319,43
2020,Faraway Traveller(Gallery Travel),Old Manor House,High Street,Mayfield,East Sussex,TN20 6AL,522841363,44
2026,R E B Travel Services Limited,56A North Street,Barming,Maidstone,Kent,ME16 9HF,4536377,45
2034,Horndean Travel,"6, The Square, Havant Road",Horndean,Waterlooville,Hampshire,PO8 0DT,321727282,46
2040,BG Travel Worldchoice,Wealden House,Long Mill Lane,Dunks Green,Tonbridge,TN11 9SD,2392787,47
2047,CT Travel Group Ltd,8-9 Orchard Business centre,North Farm Road,Tunbridge Wells,Kent,TN2 3XF,52296647,48
2048,Travel Plans,21 St Albans Road,Kingston,Surrey,,KT2 5HQ,644255343,49
2056,Trafalgar Travel,The Picquet House,St Peter Port,Guernsey,Channel Islands,GY1 1AF,,50
2106,Michael Carter Travel,77 High Street,Lincoln,Lincolnshire,,LN5 8AA,127819157,51
2123,Jean's Travel Agency,53 Roman Bank,Skegness,Lincolnshire,,PE25 2SW,129875133,52
2124,Moran Travel Worldchoice,71 Eastgate,Louth,Lincolnshire,,LN11 9PL,497819671,53
2157,Macallen Travel,30 Spa Road,Hockley,Essex,,SS5 4PH,,54
2276,The Travel Post,64 Tredegar Street,Risca,Newport,,BP11 6BW,,55
2280,The Travel Wizard Ltd,"Suite 4, Jarman House",40-42 High Street,Redbourn,Herts,AL3 7LN,,56
2304,Rendezvous Travel Group,Station Road,Little Chalfont,Buckinghamshire,,HP7 9PN,41748934,57
2327,Whitby Travel,35 Flowergate,Whitby,North Yorkshire,,YO21 3BB,16841763,58
2357,Barron Travel,Treborth Garden Centre,Treborth Road,Bangor,Gwynedd,LL57 2RZ,1598384,59
2373,Brian Kellett Travel,364 High Street,Bangor,Gwynedd,,LL57 1YE,372394242,60
